#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
2,0,0.436
1,1,5.390
2,2,5.764
2,3,6.642
2,4,8.122
1,5,9.036
1,6,11.266
1,7,13.484
1,8,14.662
1,9,16.450
2,10,19.208
2,11,19.574
CHECKPOINT,20.000
2,12,20.214
1,13,21.234
2,14,22.642
1,15,25.166
1,16,27.832
2,17,34.892
2,18,35.794
2,19,36.628
CHECKPOINT,40.000
2,20,40.026
2,21,40.986
2,22,40.998
2,23,41.010
2,24,41.898
2,25,44.952
2,26,45.742
2,27,46.566
2,28,47.442
2,29,48.718
2,30,50.234
2,31,50.992
2,32,54.788
1,33,58.150
1,34,58.170
1,35,58.188
1,36,59.948
CHECKPOINT,60.000
1,37,61.292
1,38,62.024
1,39,63.246
1,40,65.328
1,41,66.152
1,42,67.364
1,43,68.072
1,44,68.664
CHECKPOINT,80.000
2,45,81.282
2,46,82.202
2,47,83.006
2,48,84.226
2,49,84.870
2,50,87.146
2,51,87.410
2,52,89.336
2,53,92.410
2,54,93.506
2,55,94.376
2,56,98.222
CHECKPOINT,100.000
1,57,100.798
1,58,102.736
1,59,103.210
1,60,103.684
1,61,104.082
1,62,105.738
1,63,106.968
1,64,107.186
1,65,107.556
1,66,108.330
1,67,108.688
1,68,108.772
1,69,108.900
1,70,109.032
1,71,109.180
1,72,109.338
1,73,109.492
1,74,109.648
1,75,109.798
1,76,110.448
1,77,110.806
1,78,111.198
1,79,111.532
1,80,111.828
1,81,113.578
1,82,115.148
2,83,117.288
2,84,119.142
CHECKPOINT,120.000
2,85,120.036
2,86,120.738
2,87,121.460
2,88,122.008
2,89,122.590
2,90,122.728
2,91,122.848
2,92,123.176
2,93,123.538
2,94,124.074
2,95,124.184
2,96,124.296
2,97,124.684
2,98,125.090
2,99,125.478
2,100,125.848
2,101,125.930
2,102,125.984
2,103,126.436
2,104,126.504
2,105,127.754
2,106,128.454
2,107,128.494
2,108,129.400
2,109,129.794
2,110,130.154
2,111,130.726
2,112,131.978
2,113,132.090
2,114,132.828
2,115,133.486
2,116,133.682
