#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,0,1.334
1,1,2.190
1,2,3.626
1,3,4.686
1,4,5.814
1,5,7.540
1,6,8.752
1,7,8.942
1,8,9.404
1,9,10.202
1,10,11.142
1,11,11.316
1,12,12.512
1,13,14.978
1,14,15.878
1,15,16.504
1,16,17.112
1,17,18.522
1,18,19.088
1,19,19.594
CHECKPOINT,20.000
1,20,20.290
1,21,20.940
1,22,21.620
1,23,21.632
1,24,21.644
1,25,22.474
1,26,23.558
1,27,23.884
1,28,24.170
1,29,24.458
1,30,24.726
1,31,24.884
1,32,24.978
1,33,26.844
1,34,28.436
1,35,29.456
1,36,30.188
1,37,31.846
1,38,32.672
1,39,33.594
1,40,34.574
1,41,36.874
1,42,38.212
1,43,39.046
1,44,39.110
1,45,39.194
1,46,39.248
1,47,39.330
1,48,39.386
1,49,39.458
1,50,39.552
1,51,39.616
1,52,39.690
1,53,39.764
1,54,39.860
1,55,39.942
CHECKPOINT,40.000
1,56,40.022
1,57,40.136
1,58,40.224
1,59,40.296
1,60,41.392
1,61,41.968
1,62,42.496
1,63,43.898
1,64,44.754
1,65,44.816
1,66,44.888
1,67,44.936
1,68,45.496
1,69,45.846
1,70,46.198
1,71,46.530
1,72,46.798
1,73,46.970
1,74,47.196
1,75,47.554
1,76,47.966
1,77,48.256
1,78,48.524
1,79,48.768
1,80,49.042
1,81,49.332
1,82,49.632
1,83,49.946
1,84,50.232
1,85,51.976
1,86,52.564
1,87,54.770
1,88,55.046
1,89,55.342
1,90,55.666
1,91,56.070
1,92,56.420
1,93,56.746
1,94,59.584
1,95,59.748
CHECKPOINT,60.000
1,96,60.980
1,97,61.308
1,98,62.612
1,99,63.512
1,100,67.992
1,101,68.246
1,102,68.718
1,103,68.926
1,104,69.142
1,105,69.462
1,106,71.788
1,107,72.492
1,108,73.478
1,109,73.594
1,110,73.734
1,111,73.854
1,112,73.942
1,113,74.056
1,114,74.184
1,115,74.288
1,116,74.356
1,117,74.436
1,118,74.496
1,119,74.612
1,120,74.744
1,121,74.832
1,122,74.904
1,123,74.982
1,124,75.118
1,125,75.232
1,126,75.352
1,127,75.810
1,128,76.016
1,129,76.226
1,130,76.396
1,131,76.544
1,132,76.630
1,133,76.778
1,134,76.852
1,135,76.936
1,136,77.160
1,137,77.278
1,138,77.372
1,139,77.458
1,140,77.514
1,141,77.562
1,142,77.614
1,143,77.664
1,144,77.796
1,145,77.924
1,146,78.002
1,147,78.064
1,148,78.180
1,149,78.324
CHECKPOINT,80.000
1,150,80.042
1,151,80.140
1,152,80.276
1,153,80.360
1,154,80.938
1,155,80.998
1,156,81.104
1,157,81.246
1,158,81.702
1,159,82.324
1,160,82.856
1,161,83.622
1,162,83.750
1,163,84.396
1,164,84.950
1,165,85.522
1,166,86.144
1,167,86.696
1,168,86.810
1,169,86.892
1,170,86.944
1,171,87.006
1,172,87.060
1,173,87.142
1,174,87.228
1,175,87.324
1,176,87.416
1,177,87.476
1,178,87.530
1,179,87.576
1,180,87.622
1,181,87.666
1,182,87.718
1,183,87.772
1,184,87.828
1,185,87.918
1,186,88.274
1,187,88.490
1,188,88.708
1,189,88.974
1,190,89.486
1,191,89.946
1,192,90.070
1,193,90.260
1,194,90.430
1,195,90.504
1,196,90.622
1,197,90.700
1,198,90.836
1,199,90.970
1,200,91.074
1,201,91.162
1,202,91.250
1,203,91.590
1,204,91.722
1,205,92.038
1,206,92.148
1,207,92.268
1,208,92.306
1,209,92.342
1,210,92.354
1,211,92.434
1,212,92.512
1,213,92.590
1,214,92.864
1,215,93.152
1,216,93.346
1,217,93.538
1,218,93.786
1,219,94.000
1,220,94.382
1,221,94.488
1,222,94.508
1,223,94.582
1,224,94.610
1,225,94.636
1,226,94.664
1,227,94.692
1,228,94.972
1,229,95.004
1,230,95.052
1,231,95.094
1,232,95.138
1,233,95.260
1,234,95.382
1,235,95.446
1,236,95.514
1,237,95.734
1,238,95.806
1,239,95.884
1,240,95.980
1,241,96.054
1,242,96.286
1,243,96.470
1,244,97.104
1,245,97.416
1,246,98.454
CHECKPOINT,100.000
1,247,100.384
1,248,100.654
1,249,101.102
1,250,101.476
1,251,101.758
1,252,102.064
1,253,102.500
1,254,102.880
1,255,104.248
1,256,104.432
1,257,104.624
1,258,104.650
1,259,104.894
1,260,105.122
1,261,105.424
1,262,105.946
1,263,106.340
1,264,106.772
1,265,107.634
1,266,108.254
1,267,108.614
1,268,109.010
1,269,109.330
1,270,109.590
1,271,109.898
1,272,110.218
1,273,110.482
1,274,110.650
1,275,110.824
1,276,111.202
1,277,111.884
1,278,113.794
1,279,115.668
1,280,116.450
1,281,118.172
1,282,119.336
CHECKPOINT,120.000
1,283,120.582
1,284,121.870
1,285,122.800
1,286,123.416
1,287,123.804
1,288,124.410
1,289,124.824
1,290,125.366
1,291,125.906
1,292,126.086
1,293,126.246
1,294,126.676
1,295,126.938
1,296,127.584
1,297,128.038
1,298,128.596
1,299,129.206
1,300,130.722
1,301,131.942
1,302,132.408
1,303,134.190
1,304,134.770
1,305,138.340
1,306,139.132
CHECKPOINT,140.000
1,307,141.762
1,308,144.308
1,309,145.182
1,310,146.540
1,311,149.438
1,312,150.152
1,313,150.512
1,314,152.270
1,315,152.980
1,316,153.594
1,317,155.542
1,318,156.530
1,319,156.632
1,320,156.730
1,321,156.902
1,322,158.960
1,323,159.224
1,324,159.628
1,325,159.888
CHECKPOINT,160.000
1,326,160.132
1,327,163.820
1,328,165.420
1,329,166.532
1,330,166.902
1,331,167.342
1,332,167.664
1,333,168.760
1,334,169.362
1,335,170.886
1,336,172.020
1,337,172.542
1,338,173.660
1,339,175.408
1,340,176.114
1,341,176.546
1,342,177.180
1,343,177.766
1,344,178.304
1,345,178.808
1,346,179.270
1,347,179.446
1,348,179.622
CHECKPOINT,180.000
1,349,182.780
1,350,183.746
1,351,185.222
1,352,185.678
1,353,186.200
1,354,186.396
1,355,186.594
1,356,186.912
1,357,187.194
1,358,187.390
1,359,187.572
1,360,187.586
1,361,187.606
1,362,187.634
1,363,187.662
1,364,187.688
1,365,187.756
1,366,188.826
1,367,189.370
1,368,189.930
1,369,190.422
1,370,191.628
1,371,191.772
1,372,192.154
1,373,192.474
1,374,192.666
1,375,192.932
1,376,193.194
1,377,193.364
1,378,193.650
1,379,194.048
1,380,194.390
1,381,194.860
1,382,195.134
1,383,196.722
1,384,197.276
1,385,198.246
1,386,199.724
CHECKPOINT,200.000
1,387,200.364
1,388,201.330
1,389,202.574
1,390,202.606
1,391,202.624
1,392,202.708
1,393,202.782
1,394,202.846
1,395,202.912
1,396,202.950
1,397,202.986
1,398,203.028
1,399,203.052
1,400,203.148
1,401,203.262
1,402,203.354
1,403,203.452
1,404,203.514
1,405,203.614
1,406,203.718
1,407,203.780
1,408,203.848
1,409,203.918
1,410,204.344
1,411,204.550
1,412,204.568
1,413,204.586
1,414,205.102
1,415,205.394
1,416,205.658
1,417,205.980
1,418,206.344
1,419,206.876
1,420,207.390
1,421,207.742
1,422,208.120
1,423,208.516
1,424,208.876
1,425,209.838
1,426,210.296
1,427,211.084
1,428,211.786
1,429,212.218
1,430,213.452
1,431,214.964
1,432,216.238
1,433,217.520
1,434,219.076
1,435,219.478
1,436,219.812
CHECKPOINT,220.000
1,437,220.074
1,438,220.290
1,439,220.558
1,440,220.972
1,441,221.308
1,442,221.610
1,443,221.850
1,444,221.966
1,445,222.626
1,446,225.552
1,447,226.196
1,448,227.878
1,449,228.552
1,450,229.120
1,451,229.494
1,452,230.038
1,453,230.416
1,454,230.790
1,455,231.134
1,456,231.416
1,457,232.480
1,458,232.708
1,459,232.962
1,460,233.294
1,461,233.574
1,462,233.700
1,463,234.302
1,464,234.916
1,465,235.434
1,466,235.596
1,467,235.934
1,468,236.164
1,469,236.464
1,470,236.590
1,471,236.794
1,472,237.246
1,473,237.428
1,474,237.838
1,475,238.262
1,476,238.646
1,477,239.522
1,478,239.676
